Text,Label
kein Druckschmerz in der Oberschenkel beidseits.,0
Die Leiste rechts ist ohne Druckschmerz.,0
Die Lendenregion links ist nicht schmerzhaft.,0
"Bauchdecke links, druckempfindlich.",1
starker Druckschmerz in der Oberschenkel rechts.,1
"Patella rechts, stärker.",1
kein Druckschmerz in der Lendenregion beidseits.,0
leichter Druckschmerz in der Bauchdecke links.,1
Die Lendenregion rechts ist unauffällig.,0
Druckschmerz in der Oberschenkel rechts.,1
Die Patella rechts ist nicht schmerzhaft.,0
leichter Druckschmerz in der Oberschenkel beidseits.,1
kein Druckschmerz in der Condylus links.,0
leichter Druckschmerz in der Patella rechts.,1
leichter Druckschmerz in der Bauchdecke rechts.,1
Die Tibiakopf links ist unauffällig.,0
leichter Druckschmerz in der Vastus medialis rechts.,1
unauffällig in der Lendenregion rechts.,0
Die Vastus medialis rechts zeigt keine Auffälligkeiten.,0
kein Druckschmerz in der Lendenregion links.,0
leichter Druckschmerz in der Vastus medialis rechts.,1
kein Druckschmerz in der Tibiakopf links.,0
"Condylus links, druckempfindlich.",1
leichter Druckschmerz in der Bauchdecke links.,1
kein Druckschmerz in der Bauchdecke links.,0
kein Druckschmerz in der Vastus medialis beidseits.,0
Druckschmerz in der Tibiakopf links.,1
"Patella links, druckempfindlich.",1
leichter Druckschmerz in der Bauchdecke links.,1
leichter Druckschmerz in der Bauchdecke links.,1
"Patella links, druckempfindlich.",1
"Vastus medialis links, druckempfindlich.",1
leichter Druckschmerz in der Leiste rechts.,1
"Leiste beidseits, auffällig.",1
starker Druckschmerz in der Condylus beidseits.,1
kein Druckschmerz in der Bauchdecke rechts.,0
Die Leiste links scheint in Ordnung zu sein.,0
"Leiste rechts, auffällig.",1
starker Druckschmerz in der Vastus medialis beidseits.,1
Die Patella beidseits ist nicht schmerzhaft.,0
"Vastus medialis rechts, auffällig.",1
"Vastus medialis beidseits, empfindlich.",1
starker Druckschmerz in der Lendenregion links.,1
leichter Druckschmerz in der Patella links.,1
leichter Druckschmerz in der Lendenregion links.,1
kein Druckschmerz in der Lendenregion rechts.,0
unauffällig in der Bauchdecke rechts.,0
"Leiste links, druckempfindlich.",1
kein Druckschmerz in der Vastus medialis links.,0
Druckschmerz in der Condylus links.,1
Druckschmerz in der Bauchdecke beidseits.,1
leichter Druckschmerz in der Leiste beidseits.,1
unauffällig in der Patella beidseits.,0
kein Druckschmerz in der Bauchdecke links.,0
unauffällig in der Patella beidseits.,0
kein Druckschmerz in der Lendenregion beidseits.,0
leichter Druckschmerz in der Lendenregion rechts.,1
Druckschmerz in der Bauchdecke links.,1
Die Leiste beidseits ist unauffällig.,0
"Bauchdecke beidseits, auffällig.",1
Die Lendenregion links ist unauffällig.,0
"Leiste beidseits, empfindlich.",1
starker Druckschmerz in der Tibiakopf beidseits.,1
Die Oberschenkel links ist nicht schmerzhaft.,0
unauffällig in der Condylus links.,0
kein Druckschmerz in der Vastus medialis links.,0
"Bauchdecke beidseits, druckempfindlich.",1
"Condylus rechts, empfindlich.",1
"Patella links, auffällig.",1
leichter Druckschmerz in der Patella links.,1
"Condylus beidseits, stärker.",1
starker Druckschmerz in der Vastus medialis beidseits.,1
"Condylus links, stärker.",1
"Oberschenkel rechts, auffällig.",1
"Condylus rechts, druckempfindlich.",1
unauffällig in der Bauchdecke beidseits.,0
"Patella rechts, druckempfindlich.",1
Die Condylus beidseits ist nicht schmerzhaft.,0
starker Druckschmerz in der Vastus medialis rechts.,1
Druckschmerz in der Oberschenkel links.,1
starker Druckschmerz in der Condylus beidseits.,1
leichter Druckschmerz in der Tibiakopf beidseits.,1
leichter Druckschmerz in der Vastus medialis links.,1
Druckschmerz in der Patella rechts.,1
unauffällig in der Oberschenkel beidseits.,0
Die Patella beidseits ist nicht schmerzhaft.,0
Die Patella beidseits scheint in Ordnung zu sein.,0
Druckschmerz in der Vastus medialis rechts.,1
"Vastus medialis rechts, auffällig.",1
Die Vastus medialis rechts scheint in Ordnung zu sein.,0
Die Lendenregion beidseits ist nicht schmerzhaft.,0
starker Druckschmerz in der Bauchdecke beidseits.,1
leichter Druckschmerz in der Condylus beidseits.,1
Die Bauchdecke rechts scheint in Ordnung zu sein.,0
unauffällig in der Tibiakopf links.,0
kein Druckschmerz in der Bauchdecke links.,0
Die Tibiakopf beidseits ist unauffällig.,0
Druckschmerz in der Condylus rechts.,1
leichter Druckschmerz in der Patella rechts.,1
kein Druckschmerz in der Patella beidseits.,0
starker Druckschmerz in der Leiste rechts.,1
"Patella rechts, stärker.",1
kein Druckschmerz in der Oberschenkel links.,0
unauffällig in der Lendenregion links.,0
"Vastus medialis beidseits, druckempfindlich.",1
starker Druckschmerz in der Oberschenkel rechts.,1
kein Druckschmerz in der Tibiakopf rechts.,0
Die Leiste links zeigt keine Auffälligkeiten.,0
unauffällig in der Bauchdecke beidseits.,0
Die Vastus medialis beidseits ist ohne Druckschmerz.,0
"Oberschenkel rechts, empfindlich.",1
"Condylus links, druckempfindlich.",1
kein Druckschmerz in der Lendenregion beidseits.,0
unauffällig in der Bauchdecke links.,0
"Oberschenkel links, druckempfindlich.",1
"Bauchdecke rechts, auffällig.",1
leichter Druckschmerz in der Vastus medialis links.,1
starker Druckschmerz in der Oberschenkel rechts.,1
starker Druckschmerz in der Bauchdecke beidseits.,1
Druckschmerz in der Vastus medialis rechts.,1
"Oberschenkel beidseits, druckempfindlich.",1
kein Druckschmerz in der Vastus medialis rechts.,0
"Patella links, druckempfindlich.",1
kein Druckschmerz in der Vastus medialis links.,0
"Bauchdecke links, stärker.",1
"Patella rechts, stärker.",1
Die Leiste beidseits zeigt keine Auffälligkeiten.,0
unauffällig in der Condylus beidseits.,0
"Oberschenkel links, auffällig.",1
kein Druckschmerz in der Vastus medialis rechts.,0
"Bauchdecke links, druckempfindlich.",1
unauffällig in der Vastus medialis beidseits.,0
starker Druckschmerz in der Leiste links.,1
"Vastus medialis beidseits, stärker.",1
"Vastus medialis beidseits, auffällig.",1
starker Druckschmerz in der Leiste links.,1
Die Leiste beidseits ist nicht schmerzhaft.,0
kein Druckschmerz in der Tibiakopf rechts.,0
leichter Druckschmerz in der Lendenregion links.,1
leichter Druckschmerz in der Oberschenkel rechts.,1
kein Druckschmerz in der Patella rechts.,0
starker Druckschmerz in der Tibiakopf rechts.,1
kein Druckschmerz in der Leiste rechts.,0
starker Druckschmerz in der Bauchdecke rechts.,1
kein Druckschmerz in der Patella beidseits.,0
Die Oberschenkel beidseits ist nicht schmerzhaft.,0
starker Druckschmerz in der Leiste rechts.,1
kein Druckschmerz in der Vastus medialis rechts.,0
starker Druckschmerz in der Vastus medialis rechts.,1
"Patella beidseits, druckempfindlich.",1
Die Vastus medialis beidseits ist nicht schmerzhaft.,0
starker Druckschmerz in der Tibiakopf rechts.,1
"Patella rechts, stärker.",1
"Tibiakopf beidseits, stärker.",1
kein Druckschmerz in der Lendenregion beidseits.,0
Druckschmerz in der Patella links.,1
Die Lendenregion links ist nicht schmerzhaft.,0
kein Druckschmerz in der Vastus medialis rechts.,0
kein Druckschmerz in der Patella links.,0
unauffällig in der Bauchdecke beidseits.,0
Die Vastus medialis links scheint in Ordnung zu sein.,0
starker Druckschmerz in der Leiste links.,1
unauffällig in der Tibiakopf links.,0
unauffällig in der Tibiakopf rechts.,0
unauffällig in der Patella beidseits.,0
unauffällig in der Patella beidseits.,0
Die Tibiakopf links ist nicht schmerzhaft.,0
leichter Druckschmerz in der Patella rechts.,1
starker Druckschmerz in der Lendenregion rechts.,1
kein Druckschmerz in der Oberschenkel links.,0
"Patella rechts, auffällig.",1
"Bauchdecke beidseits, druckempfindlich.",1
leichter Druckschmerz in der Lendenregion links.,1
starker Druckschmerz in der Tibiakopf beidseits.,1
starker Druckschmerz in der Tibiakopf rechts.,1
Die Bauchdecke rechts ist unauffällig.,0
"Vastus medialis links, auffällig.",1
leichter Druckschmerz in der Bauchdecke links.,1
Druckschmerz in der Leiste beidseits.,1
"Leiste rechts, druckempfindlich.",1
kein Druckschmerz in der Lendenregion links.,0
kein Druckschmerz in der Oberschenkel rechts.,0
"Vastus medialis rechts, auffällig.",1
"Vastus medialis links, empfindlich.",1
"Leiste beidseits, druckempfindlich.",1
Die Oberschenkel rechts ist ohne Druckschmerz.,0
"Condylus rechts, druckempfindlich.",1
"Condylus rechts, empfindlich.",1
unauffällig in der Leiste links.,0
Die Patella rechts ist unauffällig.,0
Druckschmerz in der Condylus links.,1
Druckschmerz in der Condylus beidseits.,1
"Vastus medialis links, empfindlich.",1
Die Leiste links ist ohne Druckschmerz.,0
Druckschmerz in der Leiste beidseits.,1
kein Druckschmerz in der Bauchdecke links.,0
unauffällig in der Tibiakopf beidseits.,0
Druckschmerz in der Tibiakopf links.,1
leichter Druckschmerz in der Patella beidseits.,1
Die Condylus links zeigt keine Auffälligkeiten.,0
Die Vastus medialis rechts scheint in Ordnung zu sein.,0
"Oberschenkel links, empfindlich.",1
unauffällig in der Lendenregion beidseits.,0
Druckschmerz in der Vastus medialis rechts.,1
Die Leiste rechts ist nicht schmerzhaft.,0
"Oberschenkel links, druckempfindlich.",1
"Condylus beidseits, stärker.",1
"Leiste beidseits, stärker.",1
kein Druckschmerz in der Vastus medialis beidseits.,0
unauffällig in der Leiste beidseits.,0
Die Bauchdecke beidseits zeigt keine Auffälligkeiten.,0
leichter Druckschmerz in der Lendenregion rechts.,1
"Bauchdecke rechts, druckempfindlich.",1
Druckschmerz in der Oberschenkel rechts.,1
unauffällig in der Lendenregion rechts.,0
Die Condylus links ist ohne Druckschmerz.,0
Druckschmerz in der Patella links.,1
unauffällig in der Tibiakopf beidseits.,0
Druckschmerz in der Bauchdecke beidseits.,1
unauffällig in der Bauchdecke links.,0
Die Bauchdecke beidseits scheint in Ordnung zu sein.,0
starker Druckschmerz in der Condylus links.,1
kein Druckschmerz in der Vastus medialis beidseits.,0
"Bauchdecke links, druckempfindlich.",1
unauffällig in der Condylus links.,0
unauffällig in der Leiste beidseits.,0
Die Lendenregion rechts scheint in Ordnung zu sein.,0
"Tibiakopf rechts, druckempfindlich.",1
leichter Druckschmerz in der Oberschenkel rechts.,1
"Vastus medialis links, stärker.",1
"Patella links, empfindlich.",1
Die Oberschenkel beidseits ist ohne Druckschmerz.,0
kein Druckschmerz in der Tibiakopf beidseits.,0
Die Tibiakopf links zeigt keine Auffälligkeiten.,0
unauffällig in der Lendenregion rechts.,0
Druckschmerz in der Vastus medialis beidseits.,1
starker Druckschmerz in der Tibiakopf beidseits.,1
kein Druckschmerz in der Patella links.,0
unauffällig in der Condylus rechts.,0
Druckschmerz in der Leiste links.,1
Die Leiste rechts ist unauffällig.,0
kein Druckschmerz in der Patella rechts.,0
Die Patella beidseits zeigt keine Auffälligkeiten.,0
Die Vastus medialis links ist unauffällig.,0
leichter Druckschmerz in der Lendenregion rechts.,1
Druckschmerz in der Oberschenkel beidseits.,1
leichter Druckschmerz in der Lendenregion rechts.,1
Die Tibiakopf links ist ohne Druckschmerz.,0
Die Condylus beidseits ist ohne Druckschmerz.,0
unauffällig in der Oberschenkel beidseits.,0
Die Patella rechts ist ohne Druckschmerz.,0
leichter Druckschmerz in der Lendenregion beidseits.,1
kein Druckschmerz in der Condylus rechts.,0
leichter Druckschmerz in der Condylus rechts.,1
"Bauchdecke links, druckempfindlich.",1
unauffällig in der Condylus beidseits.,0
"Bauchdecke links, stärker.",1
"Condylus rechts, stärker.",1
starker Druckschmerz in der Oberschenkel beidseits.,1
Die Tibiakopf links zeigt keine Auffälligkeiten.,0
"Patella links, auffällig.",1
Die Bauchdecke rechts zeigt keine Auffälligkeiten.,0
kein Druckschmerz in der Tibiakopf rechts.,0
kein Druckschmerz in der Vastus medialis links.,0
"Patella rechts, stärker.",1
"Patella links, stärker.",1
unauffällig in der Bauchdecke rechts.,0
"Leiste beidseits, stärker.",1
"Vastus medialis rechts, stärker.",1
Die Leiste rechts ist unauffällig.,0
Druckschmerz in der Oberschenkel rechts.,1
kein Druckschmerz in der Condylus links.,0
"Bauchdecke links, auffällig.",1
unauffällig in der Vastus medialis rechts.,0
leichter Druckschmerz in der Oberschenkel rechts.,1
unauffällig in der Bauchdecke rechts.,0
leichter Druckschmerz in der Tibiakopf beidseits.,1
starker Druckschmerz in der Condylus rechts.,1
"Oberschenkel beidseits, auffällig.",1
Die Tibiakopf links ist nicht schmerzhaft.,0
unauffällig in der Oberschenkel links.,0
unauffällig in der Lendenregion rechts.,0
"Leiste rechts, empfindlich.",1
Druckschmerz in der Lendenregion links.,1
"Vastus medialis rechts, druckempfindlich.",1
unauffällig in der Vastus medialis beidseits.,0
unauffällig in der Vastus medialis beidseits.,0
starker Druckschmerz in der Oberschenkel beidseits.,1
"Oberschenkel rechts, stärker.",1
starker Druckschmerz in der Lendenregion beidseits.,1
"Condylus beidseits, empfindlich.",1
unauffällig in der Condylus links.,0
kein Druckschmerz in der Leiste links.,0
Druckschmerz in der Oberschenkel links.,1
unauffällig in der Leiste rechts.,0
Druckschmerz in der Vastus medialis beidseits.,1
"Vastus medialis links, empfindlich.",1
Die Condylus rechts zeigt keine Auffälligkeiten.,0
Die Vastus medialis beidseits scheint in Ordnung zu sein.,0
leichter Druckschmerz in der Oberschenkel beidseits.,1
starker Druckschmerz in der Oberschenkel beidseits.,1
leichter Druckschmerz in der Vastus medialis rechts.,1
unauffällig in der Tibiakopf beidseits.,0
Druckschmerz in der Vastus medialis rechts.,1
Druckschmerz in der Oberschenkel links.,1
Die Vastus medialis beidseits ist unauffällig.,0
leichter Druckschmerz in der Leiste beidseits.,1
kein Druckschmerz in der Oberschenkel rechts.,0
Die Patella rechts zeigt keine Auffälligkeiten.,0
"Bauchdecke rechts, empfindlich.",1
starker Druckschmerz in der Bauchdecke links.,1
starker Druckschmerz in der Patella rechts.,1
unauffällig in der Tibiakopf rechts.,0
"Bauchdecke rechts, druckempfindlich.",1
kein Druckschmerz in der Oberschenkel links.,0
"Condylus links, empfindlich.",1
starker Druckschmerz in der Bauchdecke links.,1
"Leiste rechts, empfindlich.",1
"Patella beidseits, stärker.",1
leichter Druckschmerz in der Tibiakopf links.,1
Druckschmerz in der Tibiakopf links.,1
unauffällig in der Leiste beidseits.,0
kein Druckschmerz in der Vastus medialis rechts.,0
"Tibiakopf beidseits, stärker.",1
starker Druckschmerz in der Tibiakopf links.,1
"Lendenregion beidseits, empfindlich.",1
Die Leiste links ist unauffällig.,0
"Patella rechts, stärker.",1
Druckschmerz in der Oberschenkel links.,1
"Oberschenkel rechts, auffällig.",1
Die Vastus medialis links zeigt keine Auffälligkeiten.,0
kein Druckschmerz in der Vastus medialis rechts.,0
Die Patella beidseits ist unauffällig.,0
unauffällig in der Bauchdecke beidseits.,0
unauffällig in der Vastus medialis rechts.,0
leichter Druckschmerz in der Lendenregion rechts.,1
"Tibiakopf beidseits, stärker.",1
unauffällig in der Lendenregion links.,0
Druckschmerz in der Lendenregion rechts.,1
Die Lendenregion rechts ist ohne Druckschmerz.,0
kein Druckschmerz in der Tibiakopf links.,0
leichter Druckschmerz in der Condylus beidseits.,1
kein Druckschmerz in der Leiste links.,0
leichter Druckschmerz in der Patella links.,1
unauffällig in der Vastus medialis rechts.,0
unauffällig in der Tibiakopf links.,0
"Lendenregion links, druckempfindlich.",1
"Lendenregion links, stärker.",1
"Patella links, stärker.",1
"Lendenregion links, auffällig.",1
"Condylus beidseits, empfindlich.",1
kein Druckschmerz in der Oberschenkel rechts.,0
leichter Druckschmerz in der Leiste beidseits.,1
"Oberschenkel rechts, stärker.",1
kein Druckschmerz in der Oberschenkel links.,0
unauffällig in der Condylus rechts.,0
Druckschmerz in der Vastus medialis beidseits.,1
Die Lendenregion links ist unauffällig.,0
Druckschmerz in der Vastus medialis beidseits.,1
starker Druckschmerz in der Vastus medialis rechts.,1
Die Leiste beidseits ist unauffällig.,0
leichter Druckschmerz in der Condylus rechts.,1
starker Druckschmerz in der Bauchdecke links.,1
kein Druckschmerz in der Bauchdecke beidseits.,0
"Lendenregion links, empfindlich.",1
"Oberschenkel rechts, auffällig.",1
"Condylus links, auffällig.",1
"Condylus rechts, auffällig.",1
leichter Druckschmerz in der Oberschenkel links.,1
Druckschmerz in der Tibiakopf links.,1
"Tibiakopf beidseits, druckempfindlich.",1
Die Condylus links ist nicht schmerzhaft.,0
Die Bauchdecke beidseits scheint in Ordnung zu sein.,0
leichter Druckschmerz in der Vastus medialis rechts.,1
unauffällig in der Vastus medialis links.,0
kein Druckschmerz in der Condylus links.,0
Druckschmerz in der Leiste beidseits.,1
"Tibiakopf links, druckempfindlich.",1
unauffällig in der Oberschenkel beidseits.,0
starker Druckschmerz in der Bauchdecke rechts.,1
Die Leiste beidseits ist nicht schmerzhaft.,0
Druckschmerz in der Tibiakopf links.,1
Druckschmerz in der Bauchdecke links.,1
leichter Druckschmerz in der Tibiakopf links.,1
unauffällig in der Condylus beidseits.,0
leichter Druckschmerz in der Bauchdecke rechts.,1
unauffällig in der Bauchdecke rechts.,0
leichter Druckschmerz in der Bauchdecke links.,1
Die Oberschenkel links ist unauffällig.,0
kein Druckschmerz in der Leiste rechts.,0
starker Druckschmerz in der Condylus links.,1
